一级行业分类,二级行业分类,企业/机构名称,总部所在地,企业官网,核心品牌/产品/服务
快消品,日化用品,宝洁,美国,‑_ www.pg.com,• 织物护理：汰渍、碧浪
,,,,,• 婴儿护理：帮宝适
,,,,,• 头发护理：海飞丝、潘婷、沙宣
,,,,,• 美容护肤：SK-II、Olay 
快消品,日化用品,花王,日本,‑_ www.kao.com,• 婴儿护理：妙而舒
,,,,,• 织物洗涤：洁霸
,,,,,• 健康护肤：碧柔、珂润
快消品,日化用品,联合利华,英国,‑_ www.unilever.com,• 美容护肤：多芬
,,,,,• 饮料：立顿
,,,,,• 冰淇淋：梦龙、和路雪
,,,,,• 家庭护理：奥妙、金纺
快消品,日化用品,资生堂,日本,‑_ www.shiseido.com,• 旗舰品牌：资生堂
,,,,,• 高端护肤/彩妆：CPB、NARS、IPSA
快消品,日化用品,欧莱雅,法国,‑_ www.loreal.com,• 高端化妆品：兰蔻、赫莲娜
,,,,,• 大众化妆品：美宝莲、巴黎欧莱雅
,,,,,• 专业美发：卡诗
快消品,日化用品,雅诗兰黛,美国,‑_ www.esteelauder.com,• 旗舰品牌：雅诗兰黛
,,,,,• 奢华护肤：海蓝之谜
,,,,,• 彩妆：MAC、Tom Ford、Bobbi Brown
快消品,食品饮料,可口可乐,美国亚特兰大,‑_ www.coca-colacompany.com, 汽水：可口可乐、雪碧、芬达
,,,,,• 果汁/水/饮料：美汁源、冰露、酷乐仕
快消品,食品饮料,百事公司,美国纽约,‑_ www.pepsico.com,• 饮料：百事可乐、佳得乐
,,,,,• 休闲食品：乐事、桂格、多力多滋
快消品,食品饮料,雀巢,瑞士沃韦,‑_ www.nestle.com,• 咖啡：雀巢咖啡、奈斯派索
,,,,,• 糖果/冰淇淋：脆脆鲨、雀巢冰爽茶
快消品,食品饮料,农夫山泉,中国杭州,‑_ www.nongfuspring.com,"农夫山泉, 茶π, 东方树叶, 水溶C100, 农夫果园, 打奶茶, 尖叫"
快消品,食品饮料,玛氏公司,美国麦克莱恩,‑_ www.mars.com,"M&M's, 士力架(Snickers), 德芙(Dove), 彩虹糖(Skittles), 宝路(Pedigree), 伟嘉(Whiskas), 皇家(Royal Canin)"
快消品,食品饮料,亿滋国际,美国芝加哥,‑_ www.mondelezinternational.com,"奥利奥(Oreo), 吉百利(Cadbury), 妙卡(Milka), 乐之(Ritz), 闲趣(TUC), 三角巧克力(Toblerone), 炫迈(Stride) "
​快消品​,​食品饮料​,​达能​,​法国巴黎​,‑_ ​www.danone.com​,"依云(Evian), 达能(Danone), Activia, Alpro, Volvic, 碧悠(Bio), 诺优能(Nutrilon) "
​快消品​,​食品饮料​,​统一企业​,​中国台湾台南​,‑_ ​www.uni-president.com.cn​,"统一绿茶, 统一冰红茶, 老坛酸菜牛肉面, 汤达人, 满汉大餐, 小浣熊, 阿萨姆奶茶 "
快消品,健康护理,强生,美国新泽西州,‑_ www.jnj.com,强生婴儿、邦迪、李施德林、露得清、泰诺
快消品,健康护理,鱼跃医疗,中国镇江,‑_ www.yuyue.com.cn,鱼跃（主要产品覆盖血压计、制氧机、呼吸机等家庭医疗设备）
快消品,健康护理,欧姆龙健康医疗,日本京都,‑_ www.omronhealthcare.com,"欧姆龙, 科欧, 海尔, 松下 "
快消品,乳制品,蒙牛乳业,中国呼和浩特,‑_ www.mengniu.com.cn,特仑苏、纯甄、冠益乳、每日鲜语
快消品,乳制品,伊利实业集团,中国呼和浩特,‑_ www.yili.com,金典、安慕希、畅意、QQ星
快消品,乳制品,光明乳业,中国上海,‑_ www.brightdairy.com,优倍鲜奶、莫斯利安酸奶
快消品,乳制品,君乐宝乳业,中国石家庄,‑_ www.junlebao.com,简醇酸奶、悦鲜活鲜奶
快消品,乳制品,飞鹤乳业,中国齐齐哈尔,‑_ www.flyc.com.cn,星飞帆、臻稚有机系列婴幼儿配方奶粉
快消品,婴幼儿食品,惠氏营养品,美国,‑_ www.wyethnutrition.com,惠氏启赋、惠氏S-26
快消品,婴幼儿食品,雀巢母婴,瑞士沃韦,‑_ www.nestle.com,雀巢能恩、雀巢蔼儿舒
快消品,婴幼儿食品,美赞臣营养品,美国,‑_ www.meadjohnson.com,美赞臣蓝臻、安儿宝
快消品,酒类,贵州茅台酒股份有限公司,中国贵州仁怀,‑_ www.moutaichina.com,贵州茅台酒（如飞天茅台、五星茅台）
快消品,酒类,百威英博,比利时鲁汶（全球总部）,‑_ www.ab-inbev.com,百威、科罗娜、福佳、时代
快消品,酒类,五粮液集团,中国四川宜宾,‑_ www.wuliangye.com.cn,五粮液（普五、1618等）
快消品,酒类,洋河股份,中国江苏宿迁,‑_ www.yanghe.com,洋河蓝色经典（海之蓝、天之蓝、梦之蓝）
信息技术,半导体/硬件,英伟达 (NVIDIA),美国圣克拉拉,‑_ www.nvidia.com,• 计算硬件：GeForce（消费级GPU）、RTX（专业级GPU）、HPC/AI计算卡（H100/A100等）
,,,,,• 软件与平台：CUDA、NVIDIA DRIVE（自动驾驶）、Omniverse（3D协作平台）、AI Enterprise
信息技术,软件与服务,微软 (Microsoft),美国雷德蒙德,‑_ www.microsoft.com,• 生产力与业务流程：Microsoft 365（Office）、LinkedIn、Dynamics 365
,,,,,• 智能云：Azure、Windows Server、SQL Server
,,,,,• 更多个人计算：Windows OS、Xbox、Surface硬件、Bing
信息技术,硬件与生态服务,苹果 (Apple),美国库比蒂诺,‑_ www.apple.com,• 硬件产品：iPhone、Mac、iPad、Apple Watch、AirPods、Vision Pro
,,,,,• 软件与服务：iOS/macOS、App Store、Apple Music、iCloud、Apple TV+、Apple Fitness+
信息技术,互联网软件与服务,谷歌 (Alphabet/Google),美国山景城,‑_ www.google.com,• 核心服务：Google Search、YouTube、Google Maps、Gmail、Android、Chrome
,,,,,• 云计算：Google Cloud Platform (GCP)
,,,,,• 硬件：Pixel手机、Nest智能家居
信息技术,互联网软件与服务,亚马逊 (Amazon),美国西雅图,‑_ www.amazon.com,‑_ • 电子商务：Amazon.com、Amazon Prime、Amazon Fresh
,,,,,• 云计算：Amazon Web Services (AWS)
,,,,,• 数字内容与设备：Prime Video、Amazon Music、Audible、Kindle、Alexa/Echo
互联网/科技,互动媒体与服务,Meta Platforms,美国门洛帕克,‑_ www.meta.com,• 社交应用家族：Facebook、Instagram、WhatsApp、Messenger
,,,,,• 未来平台：Reality Labs（VR/AR，含Quest头显）
互联网/科技,短视频与内容平台,字节跳动 (ByteDance),中国北京,‑_ www.bytedance.com,• 内容平台：抖音、TikTok、今日头条、西瓜视频、番茄小说、懂车帝
,,,,,• 企业服务：飞书（Lark）、巨量引擎（营销）、火山引擎（云）
制造业,电动汽车与能源,特斯拉 (Tesla),美国奥斯汀,‑_ www.tesla.com,• 电动汽车：Model S/3/X/Y、Cybertruck、Semi卡车
,,,,,• 能源产品：Solar Roof、Megapack储能系统
,,,,,• 软件与服务：全自动驾驶（FSD）、特斯拉App
互联网/科技,搜索引擎与AI,百度 (Baidu),中国北京,‑_ www.baidu.com,• 核心产品：百度搜索、百度App、百度地图、百度网盘、百度百科
,,,,,• 人工智能与云：百度大脑、飞桨（PaddlePaddle）、文心大模型、小度、Apollo（自动驾驶）
互联网/科技,本地生活服务,美团 (Meituan),中国北京,‑_ www.meituan.com,• 本地生活服务：美团、大众点评、美团外卖
,,,,,• 即时零售：美团买菜、美团优选
,,,,,• 新业务：美团单车、充电宝等
互联网/科技,电子商务,拼多多 (Pinduoduo),中国上海,‑_ www.pinduoduo.com,• 电子商务：拼多多主站、Temu（海外跨境业务）
,,,,,• 农业与生鲜：多多买菜
互联网/科技,游戏与内容,网易 (NetEase),中国杭州,‑_ www.163.com,• 在线游戏：梦幻西游、阴阳师、哈利波特：魔法觉醒等（自研与代理）
,,,,,• 在线音乐：网易云音乐
,,,,,• 智能学习：网易有道（词典、学习硬件）
,,,,,• 电子商务：严选
互联网/科技,短视频与社区,快手 (Kuaishou),中国北京,‑_ www.kuaishou.com,• 内容社区：快手主站、快手极速版
,,,,,• 电商与直播：快手电商、直播打赏
,,,,,• 投资布局：AcFun（A站）
消费电子/硬件,智能手机与IoT,小米 (Xiaomi),中国北京,‑_ www.mi.com,• 智能手机与AIoT：小米手机、Redmi、POCO、MIUI、米家生态链产品
,,,,,• 互联网服务：广告、游戏、金融
,,,,,• 新业务：小米汽车、小米澎湃OS
互联网/科技,电子商务与物流,‑_ 京东 (JD.com),中国北京,‑_ www.jd.com,• 电子商务：京东商城、京东国际、京东生鲜
,,,,,• 物流服务：京东物流（一体化供应链核心）
,,,,,• 技术服务：京东云、京东科技
互联网/科技,综合性视频社区,哔哩哔哩 (Bilibili),中国上海,‑_ www.bilibili.com,• 视频社区：B站主站（PUGV、OGV、直播、漫画等）
,,,,,• 业务拓展：游戏（发行与自研）、大会员（增值服务）、广告、电商
互联网/科技,生活方式社区,小红书 (Xiaohongshu),中国上海,‑_ www.xiaohongshu.com,• 主平台：小红书（用户分享生活方式笔记，覆盖美妆、时尚、旅行、美食等）
,,,,,• 商业模式：内容社区+电商
互联网/科技,社交媒体与数字生态,腾讯控股 (Tencent),中国深圳,‑_ www.tencent.com,• 社交与通信：微信（含视频号）、QQ
,,,,,• 数字内容：游戏（自研与发行）、腾讯视频、腾讯音乐、阅文集团
